BODUR N015.48.52.900 E103.21.27.210
BOKAK N012.57.36.300 E102.29.47.300
BOKIB N019.04.33.600 E098.22.25.200
BOMAS N017.23.04.800 E098.05.49.100
BONVO N013.44.10.470 E099.46.06.720
BOODU N006.51.17.610 E100.48.07.490
BOPNU N017.58.26.000 E103.00.52.000
BORNO N016.20.57.210 E099.41.38.880
BOTMU N017.33.59.490 E102.57.27.110
BOVGO N017.07.39.610 E101.49.35.150
BOWLY N016.48.42.000 E099.45.42.000
BOYUN N008.42.08.370 E099.43.31.300
BRENT N014.07.57.260 E100.35.21.110
BROWN N013.51.46.390 E100.19.23.860
BS101 N013.47.04.500 E100.57.50.600
BS102 N013.41.28.080 E101.06.02.840
BS103 N013.19.09.980 E100.59.48.370
BS104 N013.56.50.270 E100.49.11.950
BS105 N014.18.13.510 E100.54.46.310
BS106 N014.27.25.680 E100.57.10.580
BS107 N014.22.18.620 E100.39.09.500
BS108 N014.03.57.630 E100.41.52.580
BS117 N014.05.32.890 E100.31.27.630
BS118 N014.07.10.870 E100.20.41.580
BS401 N013.33.51.290 E100.48.45.370
BS402 N013.42.30.150 E100.39.23.080
BS403 N013.32.02.020 E100.55.42.150
BS404 N013.55.24.520 E100.42.47.930
BS405 N013.25.04.960 E100.53.48.040
BS406 N014.06.26.650 E100.45.43.480
BS407 N013.59.21.040 E100.55.45.030
BS408 N014.13.54.950 E100.44.53.560
BS488 N013.34.20.540 E100.42.31.340
BS497 N013.35.33.140 E100.44.05.910
BS499 N013.33.28.060 E100.43.33.120
BS501 N013.54.49.860 E100.54.30.270
BS502 N013.57.44.320 E100.43.24.900
BS503 N013.50.02.280 E100.53.11.480
BS504 N013.59.33.390 E100.36.27.830
BS505 N013.48.13.240 E101.00.08.220
BS506 N014.04.21.710 E100.37.43.570
BS507 N013.53.00.980 E101.01.27.190
BS508 N014.15.01.030 E100.40.31.770
BS510 N014.20.05.560 E100.20.20.840
BS512 N014.34.36.530 E100.40.57.870
BS588 N013.48.09.230 E100.46.09.070
BS599 N013.47.26.200 E100.47.13.330
BS901 N013.30.39.630 E100.47.52.930
BS902 N013.31.00.740 E100.53.51.070
BS903 N013.28.47.510 E100.42.14.540
BS904 N013.16.08.080 E100.45.10.750
BS905 N013.14.54.790 E100.40.45.310
BS907 N013.31.14.420 E100.40.03.930
BS908 N013.25.34.360 E100.30.22.740
BS909 N013.32.40.090 E100.34.16.990
BS910 N013.41.36.080 E100.34.31.080
BS911 N013.49.22.540 E100.34.43.380
BS912 N013.46.05.330 E100.42.42.850
BS914 N014.19.08.000 E100.51.18.420
BS915 N013.31.13.980 E101.12.33.290
BU036 N012.28.44.640 E101.03.14.180
BUGDU N017.09.33.140 E102.58.49.310
BUNDY N018.34.20.190 E099.20.15.590
BUNMA N018.05.43.960 E099.46.05.700
BURSO N007.47.41.110 E099.04.45.630
BUTRA N015.25.05.800 E105.35.45.900
BUXEL N011.43.41.960 E099.45.40.350
BUZKE N008.35.59.670 E099.51.59.330
CARAT N016.46.19.180 E102.47.04.180
CAROY N014.52.00.640 E102.22.20.230
CC101 N018.32.25.810 E099.02.42.920
CC102 N018.32.25.810 E098.52.49.500
CC103 N018.29.07.710 E098.57.46.210
CC104 N018.34.08.880 E098.57.46.210
CC105 N018.39.10.050 E098.57.46.210
CC106 N018.44.11.220 E098.57.46.210
CEDIA N016.06.36.250 E102.34.05.740
CENLO N008.32.27.270 E100.12.39.920
CHANG N012.49.01.690 E100.07.36.050
CHARY N008.14.56.100 E100.01.38.500
CHETA N015.21.04.490 E104.39.01.930
CHIKA N008.21.50.770 E099.55.34.390
CHUCA N017.13.43.410 E104.35.18.320
CIDER N008.14.09.190 E098.32.53.460
CIEGO N014.47.38.170 E102.16.16.720
CM101 N018.39.21.740 E099.13.06.160
CM201 N018.59.35.910 E099.10.43.170
CM202 N018.46.11.110 E099.05.24.240
CM301 N018.39.37.150 E099.22.40.380
CM302 N018.31.54.700 E099.29.11.030
CM401 N018.28.04.300 E099.23.19.850
CM402 N018.28.31.720 E099.13.03.530
CM601 N018.16.48.490 E098.53.09.290
CM602 N018.19.01.020 E099.01.40.160
CM701 N018.57.54.630 E098.57.48.210
CM702 N018.57.53.520 E099.04.52.540
CM703 N019.05.24.590 E099.04.54.020
CM704 N019.05.25.710 E098.57.49.370
CM705 N019.05.26.640 E098.49.54.010
CM706 N019.03.05.090 E098.50.17.660
CM801 N018.51.51.020 E098.46.36.210
CM802 N018.42.34.850 E098.50.23.190
CM901 N018.56.54.380 E098.57.48.060
CN001 N018.39.31.540 E100.43.27.520
CN002 N018.45.14.840 E100.45.43.490
CN004 N018.48.00.520 E100.46.49.210
CN101 N018.45.10.330 E100.45.38.200
CN102 N018.34.24.990 E100.56.59.930
CN103 N018.40.00.130 E100.31.26.910
CN201 N018.48.17.060 E100.33.24.540
CN202 N018.43.14.060 E100.58.26.680
CN203 N019.01.55.140 E100.45.34.520
CN204 N018.55.04.970 E100.49.37.700
CN205 N018.53.40.460 E100.49.04.130
CN206 N018.48.58.740 E100.47.12.310
CN301 N019.05.23.210 E100.44.03.170
CN302 N018.53.41.450 E100.49.01.350
CNXNF N018.51.22.970 E098.57.47.210
CNXSF N018.37.25.350 E098.57.45.070
COBAR N012.48.53.690 E101.12.49.130
COBRA N013.21.06.470 E100.48.55.850
CORUS N013.42.05.430 E100.11.36.930
CT031 N019.56.21.620 E099.52.39.350
CT032 N019.50.12.680 E099.48.40.280
CT033 N019.56.25.750 E099.52.33.510
CT034 N019.50.06.490 E099.48.51.270
CT035 N019.51.48.570 E099.58.20.630
CT211 N019.57.48.480 E099.53.29.770
CT212 N020.00.40.060 E099.55.02.590
CT213 N020.03.04.380 E099.56.20.720
CT214 N019.57.51.100 E099.53.23.570
CT215 N020.00.29.090 E099.54.56.280
CT216 N020.03.01.810 E099.56.25.950
CT217 N020.00.56.460 E100.12.22.850
D210S N019.40.16.630 E099.43.06.710
DABES N015.03.58.510 E100.08.17.430
DABTA N014.11.41.750 E101.09.29.560
DABUT N009.41.08.450 E100.16.53.040
DADBU N012.45.41.720 E101.09.50.050
DADSA N009.07.12.810 E098.17.49.340
DAINO N017.13.18.050 E102.35.58.760
DALBA N015.03.46.780 E100.17.27.360
DAMRI N016.53.47.820 E100.33.21.710
DAMUN N009.29.30.560 E098.32.09.210
DANAI N018.50.11.110 E099.04.52.020
DANCE N016.48.18.180 E102.46.59.270
DANCY N014.13.03.500 E100.18.28.400
DANDO N007.30.53.980 E100.20.23.990
DANPU N019.30.04.720 E098.07.45.480
DAPGI N016.18.02.380 E103.46.55.250
DARCO N014.52.53.070 E102.26.09.330
DATOE N006.54.50.440 E101.19.09.320
DAWAN N006.50.57.530 E100.36.09.520
DE21L N013.53.58.450 E100.36.05.500
DE21R N013.53.49.240 E100.35.45.380
DER18 N012.39.50.420 E101.00.13.260
DER36 N012.41.44.260 E101.00.22.660
DIPUN N012.04.56.930 E101.10.11.130
DIRAX N011.00.06.700 E100.32.48.300
DISCO N014.28.15.590 E100.16.17.240
DIVER N008.07.12.580 E098.23.25.940
DM030 N014.05.42.640 E100.41.58.720
DM031 N014.03.57.440 E101.05.51.800
DM032 N014.03.48.150 E100.31.27.810
DM033 N014.05.26.890 E100.16.30.520
DM301 N013.48.26.220 E100.32.41.450
DM302 N013.43.43.150 E100.35.10.820
DM303 N013.38.55.600 E100.29.31.050
DM304 N013.38.58.090 E100.22.19.700
DM305 N013.32.40.320 E100.19.07.740
DM306 N013.17.59.260 E100.24.23.320
DM307 N013.45.58.120 E100.22.22.140
DM308 N014.10.58.580 E100.23.20.120
DOGVA N014.30.50.270 E100.34.18.740
DOKLO N019.04.29.040 E100.53.22.010
DOLNI N013.17.39.620 E101.10.48.410
DOMBA N007.50.58.910 E099.07.15.770
DOMKA N019.14.19.380 E098.26.01.880
DOMPO N016.53.58.920 E098.45.02.410
DONEE N008.41.32.520 E100.11.07.170
DONSI N010.07.38.270 E100.24.01.220
DORNA N009.24.58.700 E099.46.14.100
DOSBU N013.52.40.260 E101.50.01.980
DOTGA N017.07.29.540 E102.27.56.580
DOTOG N009.24.00.750 E099.55.29.950
DOTSU N013.08.19.840 E100.30.56.810
DOTUS N016.31.03.010 E103.27.31.560
DOVAX N014.13.57.590 E100.19.19.230
DOVIT N019.40.00.970 E099.55.39.510
DOXAS N008.46.56.560 E100.22.07.730
DOXUR N017.28.09.280 E102.53.15.540
DUBAX N006.25.55.900 E100.07.36.600
DUBEN N019.32.49.420 E100.12.06.830
DUBMO N017.09.29.250 E102.57.15.600
DUBOL N017.10.03.520 E101.31.53.940
DUDAT N014.25.13.080 E100.43.17.410
DUGEL N018.28.53.320 E100.40.57.940
DUGIX N014.01.22.310 E100.25.29.560
DUGON N008.01.24.770 E102.05.48.570
DUKEN N015.00.05.540 E100.08.07.900
DULEM N013.44.15.580 E102.13.59.750
DUMIG N014.15.04.590 E101.14.11.330
DUNAP N012.48.20.330 E101.18.06.340
DUPER N017.05.40.030 E104.15.36.250
EASTA N018.21.45.870 E099.05.08.920
EASTE N014.18.34.800 E101.17.10.480
EGUBO N011.28.37.740 E100.04.50.150
EGUNA N016.42.13.350 E098.49.10.310
EKCHO N013.59.46.520 E100.55.51.750
EKIMA N008.51.39.610 E098.52.07.630
EKIVI N018.38.22.250 E100.31.44.360
EKVIP N016.27.29.990 E101.18.58.750
ELDOV N008.57.43.870 E099.21.59.100
ELDUS N017.34.41.660 E101.38.18.210
ELNET N017.46.25.010 E102.37.45.950
ELNON N009.12.17.880 E099.22.15.180
ELTON N014.38.22.810 E101.44.10.860
EMELA N010.12.49.190 E101.07.29.140
EMREX N016.41.07.400 E101.18.59.980
EMRIT N008.06.21.050 E098.48.40.420
EMSEG N005.45.42.700 E101.08.07.770
EMSIK N016.53.51.380 E098.36.05.930
EMTER N017.05.17.820 E102.51.35.560
EMTIX N011.49.30.730 E100.08.14.000
EMTOB N008.52.35.410 E098.54.58.650
EMTOD N020.00.35.030 E100.03.29.950
EMTUG N019.29.59.220 E098.01.24.440
EMVEL N008.44.37.580 E099.21.21.670
ENBAT N018.09.41.040 E099.10.04.360
ENDUU N014.29.49.380 E101.13.16.750
ENGAL N020.01.33.760 E100.05.53.480
ENGEB N017.30.44.100 E102.47.59.490
ENGRO N018.46.23.840 E099.13.07.910
ENKAA N013.23.07.660 E100.45.49.410
ENKAB N013.10.57.000 E101.01.26.000
ENLAX N017.03.13.580 E100.15.55.670
ENRAG N010.02.23.310 E100.09.31.070
ENSUP N017.37.19.650 E101.46.54.810
ENTEK N015.47.54.670 E104.10.24.310
ENTID N009.19.33.960 E099.55.40.380
EPGOT N007.54.15.950 E098.45.54.930
ERVED N017.25.09.490 E102.43.15.990
ERVES N006.12.07.880 E101.28.53.200
ESGAL N005.59.24.180 E101.13.06.390
ESGIB N017.24.58.250 E102.15.13.930
ESMAG N013.35.16.640 E100.17.39.620
ESMOP N018.48.07.910 E100.25.52.620
ESNOS N016.17.44.130 E103.54.11.520
EXSON N013.44.54.410 E100.46.33.440
EXTAR N018.46.51.030 E099.30.20.670
FAGAS N008.42.14.540 E100.04.27.260
FANTA N014.26.35.970 E100.52.31.600
FANTY N017.20.12.080 E099.48.34.500
FASAI N009.42.08.620 E098.18.26.530
FEENA N008.01.20.180 E098.30.13.030
FERDO N013.56.29.130 E100.28.34.360
FINNY N015.07.36.790 E102.25.19.660
FINZA N012.24.20.910 E102.29.08.280
