;- Followings are VOR outside Bangkok FIR
CMP 112.900 N016.38.06.000 E101.59.18.000 ;- CHUM PHAE
CTR 116.500 N019.56.55.900 E099.52.59.310 ;- CHIANG RAI
DIB 113.600 N021.23.45.700 E103.00.16.100 ;- DIENBIEN
LOY 115.900 N017.26.49.380 E101.43.23.120 ;- LOEI
MDY 112.800 N021.56.03.400 E096.07.47.100 ;- MANDALAY
NAN 115.700 N018.48.32.760 E100.46.57.310 ;- NAN
ROT 111.200 N016.07.00.590 E103.46.19.450 ;- ROI ET
UBL 112.700 N015.14.42.710 E104.51.57.300 ;- UBON UBON RATCHATHANI
UDN 114.300 N017.23.05.170 E102.46.29.810 ;- UDON THANI
