BS109 N014.00.40.240 E100.34.41.019
BS110 N014.02.33.039 E100.27.32.630
BS19L N013.47.29.551 E100.47.14.218
BS19R N013.48.12.571 E100.46.09.951
BS901 N013.30.39.628 E100.47.52.929
BS902 N013.31.00.739 E100.53.51.068
BS903 N013.28.47.510 E100.42.14.540
BS904 N013.16.08.079 E100.45.10.749
BS905 N013.14.54.790 E100.40.45.310
BS907 N013.31.14.419 E100.40.03.928
BS908 N013.25.34.359 E100.30.22.741
BS909 N013.32.40.088 E100.34.16.989
BS910 N013.41.36.081 E100.34.31.079
BS911 N013.49.22.540 E100.34.43.381
BS912 N013.46.05.329 E100.42.42.850
BS914 N014.19.08.000 E100.51.18.421
BSSDF N013.35.33.140 E100.44.05.910
BU036 N012.28.44.641 E101.03.14.180
BUNDY N018.34.20.190 E099.20.15.590
BUNMA N018.05.43.958 E099.46.05.699
BUTRA N015.25.05.800 E105.35.45.898
BUXEL N011.43.41.959 E099.45.40.348
BUZKE N008.35.59.668 E099.51.59.331
CAMMY N019.47.23.078 E099.47.07.080
CAPPA N008.02.08.858 E099.05.43.861
CARAT N016.46.19.178 E102.47.04.178
CAREN N019.40.08.680 E099.42.30.391
CAROY N014.52.00.638 E102.22.20.229
CASON N008.06.24.541 E098.48.28.940
CC101 N018.32.25.810 E099.02.42.921
CC102 N018.32.25.810 E098.52.49.501
CC103 N018.29.07.710 E098.57.46.209
CC104 N018.34.08.878 E098.57.46.209
CC105 N018.39.10.051 E098.57.46.209
CC106 N018.44.11.220 E098.57.46.209
CD03  N019.45.47.361 E099.45.45.539
CD04  N015.02.59.798 E103.07.01.340
CD06  N014.51.53.280 E102.07.21.190
CD18  N016.17.59.690 E103.47.31.178
CD21L N014.04.02.971 E100.41.56.691
CD21R N014.04.15.218 E100.41.34.080
CD24  N015.02.28.820 E102.28.24.970
CD36  N015.55.58.238 E103.46.43.348
CEDIA N016.06.36.248 E102.34.05.739
CEINF N020.02.14.528 E099.55.58.119
CEISF N019.50.27.380 E099.49.03.770
CELLO N013.38.10.208 E100.34.25.658
CENLO N008.32.27.268 E100.12.39.920
CF01  N017.54.07.628 E100.07.55.761
CF01L N013.30.14.219 E100.41.27.549
CF01R N013.31.32.390 E100.43.02.179
CF02  N006.19.37.649 E101.39.35.560
CF04  N015.04.42.211 E103.08.23.859
CF06  N010.37.22.940 E099.10.58.868
CF06  N014.50.59.189 E102.07.47.161
CF12  N017.30.38.901 E102.36.44.550
CF17  N009.44.08.048 E099.57.07.318
CF18  N016.50.35.138 E101.11.15.561
CF183 N007.08.05.211 E100.23.54.380
CF19  N018.19.05.271 E100.10.10.459
CF19L N013.49.21.500 E100.47.43.281
CF19R N013.52.01.289 E100.47.10.161
CF205 N016.50.07.101 E098.36.29.548
CF21  N014.13.42.160 E099.59.28.049
CF21L N014.03.17.380 E100.40.51.430
CF21R N014.03.11.548 E100.41.02.889
CF22  N015.23.04.610 E103.22.32.170
CF24  N010.48.50.828 E099.31.12.021
CF26  N006.57.22.748 E100.35.15.100
CF30  N017.17.33.201 E102.58.46.819
CF35  N009.22.22.969 E100.09.46.450
CF36  N015.55.41.721 E103.46.01.549
CF36  N016.29.31.689 E101.11.12.350
CHABU N019.41.02.479 E099.55.29.161
CHANG N012.49.01.689 E100.07.36.051
CHARY N008.14.56.101 E100.01.38.499
CHETA N015.21.04.489 E104.39.01.929
CHIKA N008.21.50.770 E099.55.34.388
CHUCA N017.13.43.410 E104.35.18.319
CI03L N013.48.26.218 E100.32.41.438
CI19  N008.44.47.331 E099.57.59.698
CI21L N014.04.20.431 E100.41.45.779
CI21R N014.04.21.921 E100.41.40.491
CI22  N009.16.46.351 E099.16.45.570
CI24  N010.48.49.949 E099.32.30.040
CI27  N008.07.37.909 E098.30.23.961
CI36  N017.03.25.311 E099.48.54.259
CIDER N008.14.09.189 E098.32.53.458
CIEGO N014.47.38.169 E102.16.16.719
CIVIC N009.40.10.070 E100.04.33.848
CM101 N018.39.21.740 E099.13.06.160
CM201 N018.59.35.908 E099.10.43.168
CM202 N018.46.11.110 E099.05.24.241
CM301 N018.39.37.148 E099.22.40.378
CM302 N018.31.54.699 E099.29.11.029
CM401 N018.28.04.299 E099.23.19.849
CM402 N018.28.31.720 E099.13.03.529
CM601 N018.16.48.489 E098.53.09.290
CM602 N018.19.01.019 E099.01.40.159
CM701 N018.57.54.629 E098.57.48.211
CM702 N018.57.53.521 E099.04.52.539
CM703 N019.05.24.590 E099.04.54.019
CM704 N019.05.25.710 E098.57.49.370
CM705 N019.05.26.638 E098.49.54.008
CM706 N019.03.05.090 E098.50.17.660
CM801 N018.51.51.019 E098.46.36.209
CM802 N018.42.34.851 E098.50.23.190
CM901 N018.56.54.380 E098.57.48.060
CMA27 N018.19.57.961 E099.05.42.151
CN001 N018.39.31.539 E100.43.27.519
CN002 N018.45.14.839 E100.45.43.491
CN003 N018.47.58.239 E100.46.48.309
CN03  N016.19.47.240 E102.39.54.608
CN101 N018.45.10.328 E100.45.38.199
CN102 N018.34.24.988 E100.56.59.931
CN103 N018.40.00.130 E100.31.26.911
CN201 N018.48.17.060 E100.33.24.541
CN202 N018.43.14.059 E100.58.26.680
CN203 N019.01.55.138 E100.45.34.520
CN204 N018.55.04.969 E100.49.37.700
CN205 N018.53.40.459 E100.49.04.130
CN206 N018.48.58.741 E100.47.12.310
CN21  N016.38.05.830 E102.52.26.770
CN301 N019.05.23.211 E100.44.03.170
CN302 N018.53.41.449 E100.49.01.351
CNXNF N018.51.22.971 E098.57.47.210
CNXSF N018.37.25.348 E098.57.45.068
COBAR N012.48.53.690 E101.12.49.129
COBRA N013.21.06.469 E100.48.55.850
CONGA N013.54.44.521 E100.19.09.980
CORUS N013.42.05.428 E100.11.36.931
CQ03  N019.46.06.531 E099.47.19.971
CS01  N008.22.45.231 E099.55.33.909
CS02  N006.19.27.659 E101.40.00.159
CS04  N008.58.54.231 E098.59.16.429
CS09  N008.04.47.391 E098.07.29.481
CS12  N017.31.18.418 E102.35.57.620
CS19  N008.44.13.570 E099.57.43.678
CS20  N006.43.34.100 E101.49.59.901
CS22  N009.16.46.048 E099.16.45.890
CS26  N006.57.18.219 E100.35.16.508
CS27  N008.07.31.119 E098.30.27.719
CS30  N017.19.01.509 E102.59.23.348
CS32  N016.36.51.238 E100.23.32.931
D001L N018.20.05.510 E100.10.11.560
D002N N007.10.06.261 E100.23.45.960
D005N N008.46.13.929 E099.57.53.089
D005O N012.54.31.219 E101.01.31.969
D006N N008.46.47.470 E099.58.12.388
D007N N012.53.59.938 E101.01.23.440
D008N N012.53.57.458 E101.01.46.520
D009J N008.15.53.319 E099.00.06.501
D011P N009.48.01.828 E100.06.01.141
D011T N017.01.37.390 E098.36.30.229
D015J N013.49.17.209 E100.46.22.378
D017J N007.40.11.661 E099.40.20.240
D017O N016.55.02.301 E101.16.06.869
D019M N017.39.14.770 E101.47.33.518
D025K N016.51.55.209 E098.37.22.119
