; VT(R)-1: BANGKOK CITY
N012.17.01.179 E101.26.08.298 N012.15.32.928 E101.27.17.512 Restricted
N012.15.32.928 E101.27.17.512 N012.13.50.168 E101.28.01.018 Restricted
N012.13.50.168 E101.28.01.018 N012.11.59.903 E101.28.15.850 Restricted
N012.11.59.903 E101.28.15.850 N012.10.09.655 E101.28.00.908 Restricted
N012.10.09.655 E101.28.00.908 N012.08.26.930 E101.27.17.402 Restricted
N012.08.26.930 E101.27.17.402 N012.06.58.723 E101.26.08.079 Restricted
N012.06.58.723 E101.26.08.079 N012.05.51.048 E101.24.37.881 Restricted
N012.05.51.048 E101.24.37.881 N012.05.08.510 E101.22.52.742 Restricted
N012.05.08.510 E101.22.52.742 N012.04.54.001 E101.21.00.022 Restricted
N012.04.54.001 E101.21.00.022 N012.05.08.510 E101.19.07.192 Restricted
N012.05.08.510 E101.19.07.192 N012.05.51.048 E101.17.22.163 Restricted
N012.05.51.048 E101.17.22.163 N012.06.58.723 E101.15.51.855 Restricted
N012.06.58.723 E101.15.51.855 N012.08.26.930 E101.14.42.642 Restricted
N012.08.26.930 E101.14.42.642 N012.10.09.655 E101.13.59.026 Restricted
N012.10.09.655 E101.13.59.026 N012.11.59.903 E101.13.44.194 Restricted
N012.11.59.903 E101.13.44.194 N012.13.50.168 E101.13.58.916 Restricted
N012.13.50.168 E101.13.58.916 N012.15.32.928 E101.14.42.422 Restricted
N012.15.32.928 E101.14.42.422 N012.17.01.179 E101.15.51.746 Restricted
N012.17.01.179 E101.15.51.746 N012.18.08.903 E101.17.21.943 Restricted
N012.18.08.903 E101.17.21.943 N012.18.51.479 E101.19.07.192 Restricted
N012.18.51.479 E101.19.07.192 N012.19.05.998 E101.21.00.022 Restricted
; VT(R)-15: UBON
N015.10.46.000 E104.56.41.999 N015.10.46.000 E104.57.48.988 Restricted
N015.10.46.000 E104.57.48.988 N015.09.42.001 E104.56.49.003 Restricted
N015.09.42.001 E104.56.49.003 N015.09.42.001 E104.56.41.999 Restricted
N015.09.42.001 E104.56.41.999 N015.10.12.999 E104.56.10.001 Restricted
N015.10.12.999 E104.56.10.001 N015.10.46.000 E104.56.41.999 Restricted
; VT(D)-16: RATCHABURI
N013.56.00.000 E100.11.00.004 N013.48.00.001 E100.11.00.004 Danger
N013.48.00.001 E100.11.00.004 N013.32.00.002 E100.16.00.013 Danger
N013.32.00.002 E100.16.00.013 N013.31.27.400 E100.16.09.186 Danger
N013.31.27.400 E100.16.09.186 N013.30.58.331 E100.16.17.289 Danger
N013.30.58.331 E100.16.17.289 N013.30.55.399 E100.16.18.113 Danger
N013.30.55.399 E100.16.18.113 N013.30.31.301 E100.16.24.512 Danger
N013.30.31.301 E100.16.24.512 N013.30.28.001 E100.16.24.787 Danger
N013.30.28.001 E100.16.24.787 N013.30.08.899 E100.16.26.792 Danger
N013.30.08.899 E100.16.26.792 N013.29.51.901 E100.16.22.507 Danger
N013.29.51.901 E100.16.22.507 N013.29.44.101 E100.16.20.612 Danger
N013.29.44.101 E100.16.20.612 N013.29.17.651 E100.16.05.863 Danger
N013.29.17.651 E100.16.05.863 N013.29.16.099 E100.16.05.012 Danger
N013.29.16.099 E100.16.05.012 N013.28.55.050 E100.15.42.984 Danger
N013.28.55.050 E100.15.42.984 N013.28.52.400 E100.15.40.210 Danger
N013.28.52.400 E100.15.40.210 N013.28.36.998 E100.15.13.788 Danger
N013.28.36.998 E100.15.13.788 N013.28.26.149 E100.14.45.059 Danger
N013.28.26.149 E100.14.45.059 N013.28.15.290 E100.14.16.329 Danger
N013.28.15.290 E100.14.16.329 N013.28.04.441 E100.13.47.628 Danger
N013.28.04.441 E100.13.47.628 N013.28.04.441 E100.13.47.628 Danger
N013.28.04.441 E100.13.47.628 N013.27.53.582 E100.13.18.898 Danger
N013.27.53.582 E100.13.18.898 N013.27.42.729 E100.12.50.169 Danger
N013.27.42.729 E100.12.50.169 N013.27.40.800 E100.12.45.088 Danger
N013.27.40.800 E100.12.45.088 N013.27.36.000 E100.12.28.801 Danger
N013.27.36.000 E100.12.28.801 N013.27.27.400 E100.11.59.302 Danger
N013.27.27.400 E100.11.59.302 N013.27.18.800 E100.11.29.777 Danger
N013.27.18.800 E100.11.29.777 N013.27.18.800 E100.11.29.777 Danger
N013.27.18.800 E100.11.29.777 N013.27.10.199 E100.11.00.278 Danger
N013.27.10.199 E100.11.00.278 N013.27.01.599 E100.10.30.780 Danger
N013.27.01.599 E100.10.30.780 N013.27.00.899 E100.10.28.391 Danger
N013.27.00.899 E100.10.28.391 N013.26.51.200 E100.09.59.249 Danger
N013.26.51.200 E100.09.59.249 N013.26.41.501 E100.09.30.108 Danger
N013.26.41.501 E100.09.30.108 N013.26.41.501 E100.09.30.108 Danger
N013.26.41.501 E100.09.30.108 N013.26.31.799 E100.09.00.939 Danger
N013.26.31.799 E100.09.00.939 N013.26.22.100 E100.08.31.798 Danger
N013.26.22.100 E100.08.31.798 N013.26.12.391 E100.08.02.657 Danger
N013.26.12.391 E100.08.02.657 N013.26.02.688 E100.07.33.516 Danger
N013.26.02.688 E100.07.33.516 N013.25.54.771 E100.07.09.730 Danger
N013.25.54.771 E100.07.09.730 N013.54.09.969 E099.58.18.898 Danger
N013.54.09.969 E099.58.18.898 N013.56.00.000 E100.11.00.004 Danger
; VT(D)-16: RATCHABURI
N013.54.09.969 E099.58.18.898 N013.25.55.770 E100.07.09.318 Danger
N013.25.55.770 E100.07.09.318 N013.25.54.741 E100.07.09.648 Danger
N013.25.54.741 E100.07.09.648 N013.25.52.990 E100.07.04.374 Danger
N013.25.52.990 E100.07.04.374 N013.25.43.280 E100.06.35.233 Danger
N013.25.43.280 E100.06.35.233 N013.25.40.901 E100.06.28.092 Danger
N013.25.40.901 E100.06.28.092 N013.25.33.231 E100.05.58.319 Danger
N013.25.33.231 E100.05.58.319 N013.25.25.568 E100.05.28.546 Danger
N013.25.25.568 E100.05.28.546 N013.25.19.498 E100.05.05.008 Danger
N013.25.19.498 E100.05.05.008 N013.25.16.402 E100.04.45.507 Danger
N013.25.16.402 E100.04.45.507 N013.25.01.131 E100.04.18.975 Danger
N013.25.01.131 E100.04.18.975 N013.24.45.849 E100.03.52.443 Danger
N013.24.45.849 E100.03.52.443 N013.24.30.572 E100.03.25.911 Danger
N013.24.30.572 E100.03.25.911 N013.24.17.100 E100.03.02.510 Danger
N013.24.17.100 E100.03.02.510 N013.24.02.398 E100.02.50.700 Danger
N013.24.02.398 E100.02.50.700 N013.23.55.700 E100.02.45.289 Danger
N013.23.55.700 E100.02.45.289 N013.23.27.129 E100.02.35.511 Danger
N013.23.27.129 E100.02.35.511 N013.23.04.600 E100.02.27.794 Danger
N013.23.04.600 E100.02.27.794 N013.22.35.579 E100.02.19.526 Danger
N013.22.35.579 E100.02.19.526 N013.22.09.202 E100.02.12.001 Danger
N013.22.09.202 E100.02.12.001 N013.21.51.102 E100.02.00.795 Danger
N013.21.51.102 E100.02.00.795 N013.21.40.500 E100.01.45.386 Danger
N013.21.40.500 E100.01.45.386 N013.21.43.840 E100.01.14.789 Danger
N013.21.43.840 E100.01.14.789 N013.21.47.181 E100.00.44.220 Danger
N013.21.47.181 E100.00.44.220 N013.21.48.801 E100.00.29.388 Danger
N013.21.48.801 E100.00.29.388 N013.22.05.030 E100.00.03.461 Danger
N013.22.05.030 E100.00.03.461 N013.22.07.200 E100.00.00.000 Danger
N013.22.07.200 E100.00.00.000 N013.22.11.900 E099.59.52.392 Danger
N013.22.11.900 E099.59.52.392 N013.21.41.791 E099.59.53.600 Danger
N013.21.41.791 E099.59.53.600 N013.21.36.799 E099.59.53.793 Danger
N013.21.36.799 E099.59.53.793 N013.21.28.998 E100.00.00.000 Danger
N013.21.28.998 E100.00.00.000 N013.21.07.599 E100.00.17.111 Danger
N013.21.07.599 E100.00.17.111 N013.20.55.099 E100.00.21.204 Danger
N013.20.55.099 E100.00.21.204 N013.20.27.290 E100.00.09.366 Danger
N013.20.27.290 E100.00.09.366 N013.20.24.601 E100.00.08.212 Danger
N013.20.24.601 E100.00.08.212 N013.20.17.601 E100.00.00.000 Danger
N013.20.17.601 E100.00.00.000 N013.20.04.102 E099.59.44.290 Danger
N013.20.04.102 E099.59.44.290 N013.19.57.499 E099.59.14.269 Danger
N013.19.57.499 E099.59.14.269 N013.19.53.102 E099.58.54.302 Danger
N013.19.53.102 E099.58.54.302 N013.19.41.799 E099.58.28.813 Danger
N013.19.41.799 E099.58.28.813 N013.19.21.471 E099.58.06.099 Danger
N013.19.21.471 E099.58.06.099 N013.19.01.129 E099.57.43.412 Danger
N013.19.01.129 E099.57.43.412 N013.18.40.801 E099.57.20.698 Danger
N013.18.40.801 E099.57.20.698 N013.18.31.401 E099.57.10.206 Danger
N013.18.31.401 E099.57.10.206 N013.18.01.539 E099.57.06.114 Danger
N013.18.01.539 E099.57.06.114 N013.17.31.670 E099.57.02.049 Danger
N013.17.31.670 E099.57.02.049 N013.17.12.499 E099.56.59.412 Danger
N013.17.12.499 E099.56.59.412 N013.17.06.600 E099.56.58.588 Danger
N013.17.06.600 E099.56.58.588 N013.17.04.499 E099.56.58.588 Danger
N013.17.04.499 E099.56.58.588 N013.16.35.701 E099.56.59.000 Danger
N013.16.35.701 E099.56.59.000 N013.16.05.582 E099.56.59.714 Danger
N013.16.05.582 E099.56.59.714 N013.15.54.101 E099.56.59.989 Danger
N013.15.54.101 E099.56.59.989 N013.15.28.860 E099.57.16.798 Danger
N013.15.28.860 E099.57.16.798 N013.15.03.619 E099.57.33.580 Danger
N013.15.03.619 E099.57.33.580 N013.14.41.498 E099.57.48.301 Danger
N013.14.41.498 E099.57.48.301 N013.14.20.199 E099.58.10.054 Danger
N013.14.20.199 E099.58.10.054 N013.14.08.800 E099.58.21.700 Danger
N013.14.08.800 E099.58.21.700 N013.13.52.880 E099.58.47.820 Danger
N013.13.52.880 E099.58.47.820 N013.13.36.961 E099.59.13.940 Danger
N013.13.36.961 E099.59.13.940 N013.13.33.799 E099.59.19.103 Danger
N013.13.33.799 E099.59.19.103 N013.13.17.800 E099.59.45.168 Danger
N013.13.17.800 E099.59.45.168 N013.13.13.900 E099.59.51.513 Danger
N013.13.13.900 E099.59.51.513 N013.12.44.418 E099.59.57.885 Danger
N013.12.44.418 E099.59.57.885 N013.12.34.599 E100.00.00.000 Danger
N013.12.34.599 E100.00.00.000 N013.12.06.701 E100.00.05.988 Danger
N013.12.06.701 E100.00.05.988 N013.11.49.899 E100.00.14.310 Danger
N013.11.49.899 E100.00.14.310 N013.11.28.400 E100.00.24.994 Danger
N013.11.28.400 E100.00.24.994 N013.11.07.958 E100.00.47.598 Danger
N013.11.07.958 E100.00.47.598 N013.11.05.699 E100.00.50.098 Danger
N013.11.05.699 E100.00.50.098 N013.10.51.912 E100.01.17.454 Danger
N013.10.51.912 E100.01.17.454 N013.10.38.131 E100.01.44.782 Danger
N013.10.38.131 E100.01.44.782 N013.10.24.339 E100.02.12.138 Danger
N013.10.24.339 E100.02.12.138 N013.10.10.551 E100.02.39.467 Danger
N013.10.10.551 E100.02.39.467 N013.10.06.401 E100.02.47.706 Danger
N013.10.06.401 E100.02.47.706 N013.09.49.059 E100.03.12.838 Danger
N013.09.49.059 E100.03.12.838 N013.09.31.722 E100.03.37.996 Danger
N013.09.31.722 E100.03.37.996 N013.09.14.380 E100.04.03.155 Danger
N013.09.14.380 E100.04.03.155 N013.09.14.380 E100.04.03.155 Danger
N013.09.14.380 E100.04.03.155 N013.08.58.200 E100.04.26.611 Danger
N013.08.58.200 E100.04.26.611 N013.08.39.901 E100.04.32.406 Danger
N013.08.39.901 E100.04.32.406 N013.08.28.300 E100.04.31.802 Danger
N013.08.28.300 E100.04.31.802 N013.08.19.202 E100.04.31.307 Danger
N013.08.19.202 E100.04.31.307 N013.07.50.500 E100.04.21.942 Danger
N013.07.50.500 E100.04.21.942 N013.07.21.801 E100.04.12.603 Danger
N013.07.21.801 E100.04.12.603 N013.06.53.089 E100.04.03.237 Danger
N013.06.53.089 E100.04.03.237 N013.06.34.299 E100.03.57.112 Danger
N013.06.34.299 E100.03.57.112 N013.06.16.000 E100.04.04.501 Danger
N013.06.16.000 E100.04.04.501 N013.05.46.001 E100.04.01.644 Danger
N013.05.46.001 E100.04.01.644 N013.05.45.400 E100.04.01.589 Danger
N013.05.45.400 E100.04.01.589 N013.05.15.500 E100.03.57.827 Danger
N013.05.15.500 E100.03.57.827 N013.05.15.490 E100.03.57.827 Danger
N013.05.15.490 E100.03.57.827 N013.05.09.001 E100.03.57.003 Danger
N013.05.09.001 E100.03.57.003 N013.04.40.000 E100.04.05.352 Danger
N013.04.40.000 E100.04.05.352 N013.04.18.299 E100.04.11.587 Danger
N013.04.18.299 E100.04.11.587 N013.03.53.302 E100.04.28.753 Danger
N013.03.53.302 E100.04.28.753 N013.03.40.702 E100.04.37.405 Danger
N013.03.40.702 E100.04.37.405 N013.03.20.061 E100.04.59.789 Danger
