CCCC_CTR   N036.25.00.005 E087.22.59.993 N036.01.59.998 E089.01.00.013
           N022.09.59.998 E099.09.59.991 N022.23.00.000 E099.16.00.013
           N022.23.00.000 E099.16.00.013 N022.30.00.000 E099.22.59.993
           N022.30.00.000 E099.22.59.993 N022.45.00.000 E099.18.59.996
           N022.45.00.000 E099.18.59.996 N022.51.00.001 E099.26.59.989
           N022.51.00.001 E099.26.59.989 N022.57.00.003 E099.26.59.989
           N022.57.00.003 E099.26.59.989 N022.54.59.998 E099.33.59.996
           N022.54.59.998 E099.33.59.996 N023.05.00.002 E099.31.00.013
           N023.05.00.002 E099.31.00.013 N023.08.00.000 E099.20.59.995
           N023.08.00.000 E099.20.59.995 N023.06.00.001 E099.05.59.995
           N023.06.00.001 E099.05.59.995 N023.09.59.998 E099.03.00.011
           N023.09.59.998 E099.03.00.011 N023.12.00.003 E098.52.59.993
           N023.12.00.003 E098.52.59.993 N023.16.59.998 E098.56.59.989
           N023.16.59.998 E098.56.59.989 N023.20.00.002 E098.52.59.993
           N023.20.00.002 E098.52.59.993 N023.24.59.998 E098.54.59.991
           N023.24.59.998 E098.54.59.991 N023.30.59.999 E098.48.59.996
           N023.30.59.999 E098.48.59.996 N023.36.00.001 E098.54.00.005
           N023.36.00.001 E098.54.00.005 N023.45.00.000 E098.50.00.009
           N023.45.00.000 E098.50.00.009 N023.46.59.998 E098.43.00.002
           N023.46.59.998 E098.43.00.002 N023.57.00.003 E098.41.59.989
           N023.57.00.003 E098.41.59.989 N024.05.00.002 E098.52.59.993
           N024.05.00.002 E098.52.59.993 N024.08.59.999 E098.52.59.993
           N024.08.59.999 E098.52.59.993 N024.05.00.002 E098.35.59.995
           N024.05.00.002 E098.35.59.995 N024.08.00.000 E098.26.59.989
           N024.08.00.000 E098.26.59.989 N024.05.00.002 E098.05.00.009
           N024.05.00.002 E098.05.00.009 N023.51.00.001 E097.39.00.005
           N023.51.00.001 E097.39.00.005 N023.57.00.003 E097.31.59.998
           N023.57.00.003 E097.31.59.998 N024.09.59.998 E097.45.00.000
           N024.09.59.998 E097.45.00.000 N024.15.59.999 E097.46.00.013
           N024.15.59.999 E097.46.00.013 N024.19.00.003 E097.39.59.991
           N024.19.00.003 E097.39.59.991 N024.21.00.001 E097.43.00.002
           N024.21.00.001 E097.43.00.002 N024.27.00.003 E097.39.59.991
           N024.27.00.003 E097.39.59.991 N024.25.59.997 E097.33.00.011
           N024.25.59.997 E097.33.00.011 N024.45.00.000 E097.33.59.996
           N024.45.00.000 E097.33.59.996 N024.51.00.001 E097.46.59.998
           N024.51.00.001 E097.46.59.998 N024.59.00.001 E097.43.00.002
           N024.59.00.001 E097.43.00.002 N025.15.59.999 E097.50.59.995
           N025.15.59.999 E097.50.59.995 N025.13.00.002 E097.56.00.004
           N025.13.00.002 E097.56.00.004 N025.23.59.999 E098.09.00.005
           N025.23.59.999 E098.09.00.005 N025.30.00.000 E098.07.59.993
           N025.30.00.000 E098.07.59.993 N025.32.59.997 E098.11.00.004
           N025.32.59.997 E098.11.00.004 N025.37.00.000 E098.09.59.991
           N025.37.00.000 E098.09.59.991 N025.32.59.997 E098.18.59.996
           N025.32.59.997 E098.18.59.996 N025.35.00.002 E098.24.00.005
           N025.35.00.002 E098.24.00.005 N025.39.59.998 E098.24.00.005
           N025.39.59.998 E098.24.00.005 N025.51.00.001 E098.33.00.011
           N025.51.00.001 E098.33.00.011 N025.47.59.997 E098.37.59.993
           N025.47.59.997 E098.37.59.993 N025.53.00.000 E098.43.00.002
           N025.53.00.000 E098.43.00.002 N025.59.00.001 E098.37.00.007
           N025.59.00.001 E098.37.00.007 N026.08.00.000 E098.35.00.009
           N026.08.00.000 E098.35.00.009 N026.06.00.001 E098.39.59.991
           N026.06.00.001 E098.39.59.991 N026.10.59.997 E098.43.59.987
           N026.10.59.997 E098.43.59.987 N026.15.00.000 E098.41.00.004
           N026.15.00.000 E098.41.00.004 N026.19.00.003 E098.41.00.004
           N026.19.00.003 E098.41.00.004 N026.22.00.000 E098.43.59.987
           N026.22.00.000 E098.43.59.987 N026.38.00.000 E098.46.59.998
           N026.38.00.000 E098.46.59.998 N027.06.00.001 E098.43.00.002
           N027.06.00.001 E098.43.00.002 N027.17.59.997 E098.43.59.987
           N027.17.59.997 E098.43.59.987 N027.23.00.000 E098.41.59.989
           N027.23.00.000 E098.41.59.989 N027.35.00.002 E098.41.59.989
           N027.35.00.002 E098.41.59.989 N027.40.59.997 E098.26.00.004
           N027.40.59.997 E098.26.00.004 N027.35.00.002 E098.26.00.004
           N027.35.00.002 E098.26.00.004 N027.31.59.998 E098.20.59.995
           N027.31.59.998 E098.20.59.995 N027.44.00.001 E098.13.59.987
           N027.44.00.001 E098.13.59.987 N027.53.59.999 E098.13.00.002
           N027.53.59.999 E098.13.00.002 N027.58.00.002 E098.07.59.993
           N027.58.00.002 E098.07.59.993 N028.06.00.001 E098.09.00.005
           N028.06.00.001 E098.09.00.005 N028.12.00.003 E098.05.00.009
           N028.12.00.003 E098.05.00.009 N028.13.00.002 E098.00.00.000
           N028.13.00.002 E098.00.00.000 N028.15.59.999 E098.01.59.998
           N028.15.59.999 E098.01.59.998 N028.23.00.000 E097.54.00.005
           N028.23.00.000 E097.54.00.005 N028.20.00.002 E097.48.59.996
           N028.20.00.002 E097.48.59.996 N028.24.59.998 E097.45.00.000
           N028.24.59.998 E097.45.00.000 N028.30.59.999 E097.41.59.989
           N028.30.59.999 E097.41.59.989 N028.28.00.002 E097.37.59.993
           N028.28.00.002 E097.37.59.993 N028.30.48.003 E097.35.47.992
           N028.30.48.003 E097.35.47.992 N028.32.59.997 E097.33.59.996
           N028.32.59.997 E097.33.59.996 N028.15.59.999 E097.28.00.002
           N028.15.59.999 E097.28.00.002 N028.17.59.997 E097.24.59.991
           N028.17.59.997 E097.24.59.991 N028.12.00.003 E097.22.00.007
           N028.12.00.003 E097.22.00.007 N028.22.00.000 E097.09.00.005
           N028.22.00.000 E097.09.00.005 N028.20.00.002 E096.56.59.989
           N028.20.00.002 E096.56.59.989 N028.28.00.002 E096.35.59.995
           N028.28.00.002 E096.35.59.995 N028.21.00.001 E096.24.00.005
           N028.21.00.001 E096.24.00.005 N028.25.59.997 E096.18.00.011
           N028.25.59.997 E096.18.00.011 N028.45.59.999 E096.37.59.993
           N028.45.59.999 E096.37.59.993 N028.50.00.002 E096.33.59.996
           N028.50.00.002 E096.33.59.996 N029.04.00.003 E096.28.59.987
           N029.04.00.003 E096.28.59.987 N028.54.59.998 E096.05.59.995
           N028.54.59.998 E096.05.59.995 N029.05.00.002 E096.09.00.005
           N029.05.00.002 E096.09.00.005 N029.15.00.000 E096.24.00.005
           N029.15.00.000 E096.24.00.005 N029.15.59.999 E096.13.59.987
           N029.15.59.999 E096.13.59.987 N029.27.00.003 E096.05.00.009
           N029.27.00.003 E096.05.00.009 N029.08.00.000 E095.24.59.991
           N029.08.00.000 E095.24.59.991 N029.06.00.001 E095.07.00.007
           N029.06.00.001 E095.07.00.007 N029.12.00.003 E094.48.00.011
           N029.12.00.003 E094.48.00.011 N029.19.00.003 E094.41.00.004
           N029.19.00.003 E094.41.00.004 N029.05.00.002 E094.13.00.002
           N029.05.00.002 E094.13.00.002 N028.57.00.003 E094.07.59.993
           N028.57.00.003 E094.07.59.993 N028.59.00.001 E094.03.00.011
           N028.59.00.001 E094.03.00.011 N028.53.00.000 E094.03.00.011
           N028.53.00.000 E094.03.00.011 N028.40.59.997 E093.41.00.004
           N028.40.59.997 E093.41.00.004 N028.38.59.999 E093.18.59.996
           N028.38.59.999 E093.18.59.996 N028.22.00.000 E093.11.00.004
           N028.22.00.000 E093.11.00.004 N028.08.00.000 E092.41.59.989
           N028.08.00.000 E092.41.59.989 N027.57.00.003 E092.43.00.002
           N027.57.00.003 E092.43.00.002 N027.47.59.997 E092.20.00.009
           N027.47.59.997 E092.20.00.009 N027.53.00.000 E092.16.00.013
           N027.53.00.000 E092.16.00.013 N027.44.00.001 E091.58.59.987
           N027.44.00.001 E091.58.59.987 N027.45.59.999 E091.39.59.991
