VDPP_CTR   N014.41.09.600 E107.32.40.593 N014.37.03.001 E107.33.24.099
           N012.48.42.998 E102.32.41.609 N012.51.01.399 E102.30.13.596
           N012.51.01.399 E102.30.13.596 N012.58.26.499 E102.29.08.309
           N012.58.26.499 E102.29.08.309 N012.59.58.301 E102.31.55.192
           N012.59.58.301 E102.31.55.192 N013.10.18.201 E102.23.41.411
           N013.10.18.201 E102.23.41.411 N013.17.52.001 E102.21.05.707
           N013.17.52.001 E102.21.05.707 N013.30.04.298 E102.21.56.602
           N013.30.04.298 E102.21.56.602 N013.32.35.199 E102.20.23.987
           N013.32.35.199 E102.20.23.987 N013.34.29.800 E102.22.16.295
           N013.34.29.800 E102.22.16.295 N013.33.44.300 E102.31.58.488
           N013.33.44.300 E102.31.58.488 N013.36.21.500 E102.37.36.894
           N013.36.21.500 E102.37.36.894 N013.40.09.401 E102.33.47.005
           N013.40.09.401 E102.33.47.005 N013.46.09.399 E102.43.58.092
           N013.46.09.399 E102.43.58.092 N013.55.56.299 E102.47.41.993
           N013.55.56.299 E102.47.41.993 N014.01.10.900 E102.54.49.389
           N014.01.10.900 E102.54.49.389 N014.10.39.899 E102.56.31.891
           N014.10.39.899 E102.56.31.891 N014.16.28.498 E103.03.50.713
           N014.16.28.498 E103.03.50.713 N014.23.08.898 E103.26.10.496
           N014.23.08.898 E103.26.10.496 N014.21.44.101 E103.28.08.406
           N014.21.44.101 E103.28.08.406 N014.25.10.301 E103.33.33.794
           N014.25.10.301 E103.33.33.794 N014.23.48.600 E103.37.44.090
           N014.23.48.600 E103.37.44.090 N014.26.22.199 E103.39.45.187
           N014.26.22.199 E103.39.45.187 N014.25.46.000 E103.42.22.209
           N014.25.46.000 E103.42.22.209 N014.22.39.400 E103.42.50.197
           N014.22.39.400 E103.42.50.197 N014.19.36.900 E103.55.32.291
           N014.19.36.900 E103.55.32.291 N014.22.12.600 E104.06.44.407
           N014.22.12.600 E104.06.44.407 N014.21.05.800 E104.10.30.505
           N014.21.05.800 E104.10.30.505 N014.24.02.199 E104.12.20.506
           N014.24.02.199 E104.12.20.506 N014.22.04.398 E104.14.16.796
           N014.22.04.398 E104.14.16.796 N014.23.37.600 E104.17.04.393
           N014.23.37.600 E104.17.04.393 N014.20.58.298 E104.33.33.190
           N014.20.58.298 E104.33.33.190 N014.25.16.800 E104.38.45.998
           N014.25.16.800 E104.38.45.998 N014.23.35.200 E104.40.59.894
           N014.23.35.200 E104.40.59.894 N014.26.03.602 E104.48.19.210
           N014.26.03.602 E104.48.19.210 N014.22.22.900 E104.59.53.106
           N014.22.22.900 E104.59.53.106 N014.12.51.199 E105.03.06.795
           N014.12.51.199 E105.03.06.795 N014.13.28.000 E105.08.05.788
           N014.13.28.000 E105.08.05.788 N014.20.27.599 E105.12.27.702
           N014.20.27.599 E105.12.27.702 N014.16.09.801 E105.12.41.298
           N014.16.09.801 E105.12.41.298 N014.06.07.699 E105.22.00.996
           N014.06.07.699 E105.22.00.996 N014.06.08.001 E105.27.30.009
           N014.06.08.001 E105.27.30.009 N014.09.23.300 E105.33.49.395
           N014.09.23.300 E105.33.49.395 N014.05.56.002 E105.38.38.390
           N014.05.56.002 E105.38.38.390 N014.05.01.698 E105.47.27.794
           N014.05.01.698 E105.47.27.794 N014.01.15.500 E105.47.54.188
           N014.01.15.500 E105.47.54.188 N013.56.00.000 E105.54.16.100
           N013.56.00.000 E105.54.16.100 N013.54.36.302 E106.06.10.404
           N013.54.36.302 E106.06.10.404 N013.59.03.801 E106.06.18.891
           N013.59.03.801 E106.06.18.891 N014.03.46.899 E106.10.49.210
           N014.03.46.899 E106.10.49.210 N014.13.55.799 E106.02.06.205
           N014.13.55.799 E106.02.06.205 N014.21.41.598 E106.00.09.613
           N014.21.41.598 E106.00.09.613 N014.20.48.898 E106.11.33.292
           N014.20.48.898 E106.11.33.292 N014.28.54.199 E106.15.18.210
           N014.28.54.199 E106.15.18.210 N014.26.13.901 E106.19.19.909
           N014.26.13.901 E106.19.19.909 N014.26.53.799 E106.24.56.613
           N014.26.53.799 E106.24.56.613 N014.30.47.801 E106.26.08.491
