           N001.35.39.500 E103.58.12.993 N001.35.33.400 E103.56.45.789
           N001.35.33.400 E103.56.45.789 N001.35.23.600 E103.58.36.806
           N001.35.23.600 E103.58.36.806 N001.34.13.000 E103.58.07.610
           N001.34.13.000 E103.58.07.610 N001.34.34.400 E103.59.38.192
           N001.34.34.400 E103.59.38.192 N001.32.48.900 E104.00.49.905
           N001.32.48.900 E104.00.49.905 N001.32.17.900 E103.59.36.599
           N001.32.17.900 E103.59.36.599 N001.30.04.200 E104.00.55.591
           N001.30.04.200 E104.00.55.591 N001.26.12.800 E104.00.10.712
           N001.26.12.800 E104.00.10.712 N001.26.00.700 E103.54.36.892
           N001.26.00.700 E103.54.36.892 N001.28.55.200 E103.50.05.804
           N001.28.55.200 E103.50.05.804 N001.29.06.700 E103.48.00.890
           N001.29.06.700 E103.48.00.890 N001.27.05.000 E103.45.43.011
           N001.27.05.000 E103.45.43.011 N001.28.09.800 E103.42.36.793
           N001.28.09.800 E103.42.36.793 N001.27.46.300 E103.41.14.588
           N001.27.46.300 E103.41.14.588 N001.26.51.500 E103.41.42.988
           N001.26.51.500 E103.41.42.988 N001.20.37.600 E103.36.35.288
           N001.20.37.600 E103.36.35.288 N001.21.17.600 E103.33.15.007
           N001.21.17.600 E103.33.15.007 N001.17.00.000 E103.35.59.995
           N001.17.00.000 E103.35.59.995 N001.13.00.000 E103.30.00.000
           N001.13.00.000 E103.30.00.000 N001.39.00.000 E102.09.59.991
           N001.39.00.000 E102.09.59.991 N006.00.00.000 E097.30.00.000
           N006.00.00.000 E097.30.00.000 N006.00.00.000 E094.24.59.991
           N006.00.00.000 E094.24.59.991 N010.00.00.000 E094.24.59.991
