DDDD_CTR   N018.54.19.698 E104.35.11.407 N018.48.22.602 E104.44.43.603
           N017.10.35.703 E104.48.27.697 N017.24.00.500 E104.48.10.695
           N017.24.00.500 E104.48.10.695 N017.52.22.797 E104.16.30.692
           N017.52.22.797 E104.16.30.692 N018.19.27.702 E103.59.14.407
           N018.19.27.702 E103.59.14.407 N018.17.18.002 E103.51.58.689
           N018.17.18.002 E103.51.58.689 N018.26.14.897 E103.30.49.191
           N018.26.14.897 E103.30.49.191 N018.26.08.497 E103.18.52.993
           N018.26.08.497 E103.18.52.993 N018.21.51.198 E103.14.32.589
           N018.21.51.198 E103.14.32.589 N018.18.37.797 E103.17.43.889
           N018.18.37.797 E103.17.43.889 N018.14.32.699 E103.09.25.411
           N018.14.32.699 E103.09.25.411 N017.59.05.199 E103.02.42.296
           N017.59.05.199 E103.02.42.296 N017.58.14.799 E102.51.39.792
           N017.58.14.799 E102.51.39.792 N017.52.17.599 E102.41.25.492
           N017.52.17.599 E102.41.25.492 N017.48.17.898 E102.40.43.909
           N017.48.17.898 E102.40.43.909 N017.50.45.300 E102.35.23.987
           N017.50.45.300 E102.35.23.987 N017.57.42.197 E102.36.05.405
           N017.57.42.197 E102.36.05.405 N017.58.42.299 E102.26.48.398
           N017.58.42.299 E102.26.48.398 N018.04.11.498 E102.16.18.690
           N018.04.11.498 E102.16.18.690 N018.12.35.901 E102.09.55.294
           N018.12.35.901 E102.09.55.294 N018.13.11.098 E102.05.03.909
           N018.13.11.098 E102.05.03.909 N018.01.56.702 E101.54.33.788
           N018.01.56.702 E101.54.33.788 N018.03.50.301 E101.46.37.009
           N018.03.50.301 E101.46.37.009 N017.55.05.601 E101.44.14.901
           N017.55.05.601 E101.44.14.901 N017.51.58.600 E101.34.51.605
           N017.51.58.600 E101.34.51.605 N017.47.01.900 E101.34.51.412
           N017.47.01.900 E101.34.51.412 N017.43.31.402 E101.29.54.012
           N017.43.31.402 E101.29.54.012 N017.43.58.099 E101.24.34.008
           N017.43.58.099 E101.24.34.008 N017.40.50.500 E101.24.28.405
           N017.40.50.500 E101.24.28.405 N017.38.57.499 E101.18.56.810
           N017.38.57.499 E101.18.56.810 N017.28.00.599 E101.09.59.606
           N017.28.00.599 E101.09.59.606 N017.34.19.703 E100.57.36.299
           N017.34.19.703 E100.57.36.299 N017.53.22.103 E101.01.29.511
           N017.53.22.103 E101.01.29.511 N018.04.55.402 E101.10.33.499
           N018.04.55.402 E101.10.33.499 N018.12.30.998 E101.11.34.913
           N018.12.30.998 E101.11.34.913 N018.15.36.701 E101.09.01.489
           N018.15.36.701 E101.09.01.489 N018.19.58.499 E101.11.12.913
           N018.19.58.499 E101.11.12.913 N018.25.43.600 E101.03.28.987
           N018.25.43.600 E101.03.28.987 N018.41.15.803 E101.16.26.710
           N018.41.15.803 E101.16.26.710 N018.43.58.799 E101.13.40.102
           N018.43.58.799 E101.13.40.102 N018.53.37.298 E101.15.03.296
           N018.53.37.298 E101.15.03.296 N019.02.48.002 E101.21.18.891
           N019.02.48.002 E101.21.18.891 N019.07.41.398 E101.15.30.899
           N019.07.41.398 E101.15.30.899 N019.21.31.402 E101.12.14.106
           N019.21.31.402 E101.12.14.106 N019.34.13.997 E101.17.08.705
           N019.34.13.997 E101.17.08.705 N019.37.52.598 E100.53.51.491
           N019.37.52.598 E100.53.51.491 N019.29.24.397 E100.46.15.394
           N019.29.24.397 E100.46.15.394 N019.33.24.099 E100.39.07.009
           N019.33.24.099 E100.39.07.009 N019.30.06.400 E100.35.20.389
           N019.30.06.400 E100.35.20.389 N019.31.42.399 E100.30.56.992
           N019.31.42.399 E100.30.56.992 N019.45.38.397 E100.24.43.813
           N019.45.38.397 E100.24.43.813 N019.54.22.397 E100.31.15.311
           N019.54.22.397 E100.31.15.311 N020.10.07.599 E100.34.53.088
           N020.10.07.599 E100.34.53.088 N020.08.24.602 E100.31.38.602
           N020.08.24.602 E100.31.38.602 N020.11.39.898 E100.27.25.587
           N020.11.39.898 E100.27.25.587 N020.23.34.002 E100.19.42.211
           N020.23.34.002 E100.19.42.211 N020.23.21.601 E100.15.51.306
           N020.23.21.601 E100.15.51.306 N020.14.14.002 E100.10.09.412
           N020.14.14.002 E100.10.09.412 N020.15.30.501 E100.06.05.790
           N020.15.30.501 E100.06.05.790 N020.21.20.697 E100.05.35.001
           N020.21.20.697 E100.05.35.001 N020.44.49.000 E100.15.34.113
           N020.44.49.000 E100.15.34.113 N020.49.25.203 E100.22.07.890
           N020.49.25.203 E100.22.07.890 N020.48.39.198 E100.31.37.998
           N020.48.39.198 E100.31.37.998 N020.52.31.998 E100.38.50.695
           N020.52.31.998 E100.38.50.695 N020.53.52.198 E100.30.56.113
           N020.53.52.198 E100.30.56.113 N021.01.33.899 E100.33.01.494
           N021.01.33.899 E100.33.01.494 N021.07.38.597 E100.40.30.313
           N021.07.38.597 E100.40.30.313 N021.18.43.599 E100.43.37.300
           N021.18.43.599 E100.43.37.300 N021.17.41.499 E100.49.46.002
           N021.17.41.499 E100.49.46.002 N021.23.31.997 E101.00.19.391
           N021.23.31.997 E101.00.19.391 N021.31.40.600 E101.10.05.209
           N021.31.40.600 E101.10.05.209 N021.33.49.903 E101.09.17.089
           N021.33.49.903 E101.09.17.089 N021.33.16.099 E101.13.05.907
           N021.33.16.099 E101.13.05.907 N021.24.42.097 E101.11.51.502
           N021.24.42.097 E101.11.51.502 N021.22.26.498 E101.16.06.687
           N021.22.26.498 E101.16.06.687 N021.18.44.602 E101.13.51.308
           N021.18.44.602 E101.13.51.308 N021.10.43.201 E101.17.06.205
           N021.10.43.201 E101.17.06.205 N021.14.54.397 E101.33.48.104
           N021.14.54.397 E101.33.48.104 N021.10.32.401 E101.36.19.413
           N021.10.32.401 E101.36.19.413 N021.11.55.601 E101.40.28.500
           N021.11.55.601 E101.40.28.500 N021.08.24.101 E101.47.16.313
           N021.08.24.101 E101.47.16.313 N021.12.11.497 E101.46.56.400
           N021.12.11.497 E101.46.56.400 N021.15.07.601 E101.50.49.612
           N021.15.07.601 E101.50.49.612 N021.18.53.398 E101.44.25.091
           N021.18.53.398 E101.44.25.091 N021.34.38.098 E101.45.44.604
           N021.34.38.098 E101.45.44.604 N021.36.10.699 E101.49.36.196
           N021.36.10.699 E101.49.36.196 N021.43.25.003 E101.45.09.998
           N021.43.25.003 E101.45.09.998 N021.49.57.002 E101.46.53.297
           N021.49.57.002 E101.46.53.297 N021.56.38.703 E101.42.18.611
           N021.56.38.703 E101.42.18.611 N021.58.09.999 E101.37.24.205
           N021.58.09.999 E101.37.24.205 N022.14.53.099 E101.32.49.107
           N022.14.53.099 E101.32.49.107 N022.16.47.199 E101.37.42.689
           N022.16.47.199 E101.37.42.689 N022.26.55.402 E101.40.30.396
           N022.26.55.402 E101.40.30.396 N022.30.00.700 E101.44.48.794
           N022.30.00.700 E101.44.48.794 N022.22.51.101 E101.53.18.395
           N022.22.51.101 E101.53.18.395 N022.26.11.100 E101.55.29.489
           N022.26.11.100 E101.55.29.489 N022.26.06.801 E102.07.34.807
           N022.26.06.801 E102.07.34.807 N022.14.37.100 E102.14.37.094
           N022.14.37.100 E102.14.37.094 N021.55.04.701 E102.36.48.801
           N021.55.04.701 E102.36.48.801 N021.39.33.802 E102.40.37.097
           N021.39.33.802 E102.40.37.097 N021.43.01.197 E102.48.37.200
           N021.43.01.197 E102.48.37.200 N021.50.48.397 E102.50.37.088
           N021.50.48.397 E102.50.37.088 N021.43.00.798 E102.51.42.100
           N021.43.00.798 E102.51.42.100 N021.41.24.702 E102.59.09.710
           N021.41.24.702 E102.59.09.710 N021.35.16.200 E102.59.37.505
           N021.35.16.200 E102.59.37.505 N021.25.47.397 E102.52.27.089
           N021.25.47.397 E102.52.27.089 N021.27.25.800 E102.56.34.089
           N021.27.25.800 E102.56.34.089 N021.18.15.000 E102.54.06.405
           N021.18.15.000 E102.54.06.405 N021.15.45.902 E102.48.34.893
           N021.15.45.902 E102.48.34.893 N021.13.55.998 E102.54.30.905
           N021.13.55.998 E102.54.30.905 N021.04.29.598 E102.58.05.907
           N021.04.29.598 E102.58.05.907 N021.03.35.497 E103.02.07.496
           N021.03.35.497 E103.02.07.496 N020.51.03.902 E103.10.33.994
           N020.51.03.902 E103.10.33.994 N020.47.06.199 E103.24.10.690
           N020.47.06.199 E103.24.10.690 N020.49.38.400 E103.28.13.405
           N020.49.38.400 E103.28.13.405 N020.45.19.199 E103.30.54.410
           N020.45.19.199 E103.30.54.410 N020.39.53.701 E103.41.56.501
           N020.39.53.701 E103.41.56.501 N020.45.18.100 E103.47.46.196
