AAAA_CTR   N021.30.20.840 E108.01.33.494 N021.12.35.001 E108.12.30.998
           N021.43.00.798 E102.51.42.100 N021.50.48.397 E102.50.37.088
           N021.50.48.397 E102.50.37.088 N021.43.01.197 E102.48.37.200
           N021.43.01.197 E102.48.37.200 N021.39.33.802 E102.40.37.097
           N021.39.33.802 E102.40.37.097 N021.55.04.701 E102.36.48.801
           N021.55.04.701 E102.36.48.801 N022.14.37.100 E102.14.37.094
           N022.14.37.100 E102.14.37.094 N022.23.51.697 E102.08.53.606
           N022.23.51.697 E102.08.53.606 N022.25.50.397 E102.09.51.504
           N022.25.50.397 E102.09.51.504 N022.25.05.601 E102.16.09.406
           N022.25.05.601 E102.16.09.406 N022.27.42.403 E102.15.16.507
           N022.27.42.403 E102.15.16.507 N022.38.22.803 E102.25.20.013
           N022.38.22.803 E102.25.20.013 N022.41.13.201 E102.23.32.402
           N022.41.13.201 E102.23.32.402 N022.46.48.998 E102.29.52.007
           N022.46.48.998 E102.29.52.007 N022.42.28.897 E102.34.43.200
           N022.42.28.897 E102.34.43.200 N022.42.21.900 E102.42.10.289
           N022.42.21.900 E102.42.10.289 N022.36.28.998 E102.52.02.699
           N022.36.28.998 E102.52.02.699 N022.29.17.703 E102.55.55.389
           N022.29.17.703 E102.55.55.389 N022.26.40.598 E103.01.50.687
           N022.26.40.598 E103.01.50.687 N022.33.24.202 E103.11.00.690
           N022.33.24.202 E103.11.00.690 N022.37.39.098 E103.10.49.786
           N022.37.39.098 E103.10.49.786 N022.41.08.099 E103.17.06.205
           N022.41.08.099 E103.17.06.205 N022.49.17.300 E103.19.56.796
           N022.49.17.300 E103.19.56.796 N022.45.09.901 E103.26.43.812
           N022.45.09.901 E103.26.43.812 N022.35.41.201 E103.31.17.289
           N022.35.41.201 E103.31.17.289 N022.47.51.799 E103.38.50.310
           N022.47.51.799 E103.38.50.310 N022.31.55.899 E103.55.03.204
           N022.31.55.899 E103.55.03.204 N022.31.01.201 E104.00.24.692
           N022.31.01.201 E104.00.24.692 N022.42.57.001 E104.02.23.893
           N022.42.57.001 E104.02.23.893 N022.48.16.099 E104.06.39.298
           N022.48.16.099 E104.06.39.298 N022.50.55.703 E104.15.50.208
           N022.50.55.703 E104.15.50.208 N022.44.23.299 E104.16.20.997
           N022.44.23.299 E104.16.20.997 N022.41.30.298 E104.22.17.311
           N022.41.30.298 E104.22.17.311 N022.51.35.501 E104.35.14.813
           N022.51.35.501 E104.35.14.813 N022.49.03.100 E104.35.59.912
           N022.49.03.100 E104.35.59.912 N022.49.27.400 E104.44.00.591
