VTBB_CTR   N011.39.06.000 E102.54.59.002 N010.00.07.100 E102.14.47.613
           N016.23.51.800 E098.54.59.799 N016.25.56.502 E098.49.58.196
           N016.25.56.502 E098.49.58.196 N016.16.04.497 E098.40.52.313
           N016.16.04.497 E098.40.52.313 N016.27.59.398 E098.39.31.289
           N016.27.59.398 E098.39.31.289 N016.43.31.800 E098.28.04.396
           N016.43.31.800 E098.28.04.396 N016.48.35.600 E098.32.58.995
           N016.48.35.600 E098.32.58.995 N016.50.06.903 E098.29.48.409
           N016.50.06.903 E098.29.48.409 N016.51.20.402 E098.32.39.412
           N016.51.20.402 E098.32.39.412 N016.56.40.399 E098.30.34.195
           N016.56.40.399 E098.30.34.195 N017.02.56.502 E098.24.46.505
           N017.02.56.502 E098.24.46.505 N017.03.34.803 E098.19.30.209
           N017.03.34.803 E098.19.30.209 N017.13.27.001 E098.14.53.710
           N017.13.27.001 E098.14.53.710 N017.17.15.098 E098.08.29.106
           N017.17.15.098 E098.08.29.106 N017.22.10.197 E098.07.25.193
           N017.22.10.197 E098.07.25.193 N017.42.59.899 E097.46.19.294
           N017.42.59.899 E097.46.19.294 N017.52.01.202 E097.40.42.700
           N017.52.01.202 E097.40.42.700 N017.58.16.399 E097.44.35.995
           N017.58.16.399 E097.44.35.995 N018.13.59.301 E097.36.56.492
           N018.13.59.301 E097.36.56.492 N018.17.15.503 E097.38.36.989
           N018.17.15.503 E097.38.36.989 N018.20.13.399 E097.33.39.397
           N018.20.13.399 E097.33.39.397 N018.16.09.798 E097.30.07.388
           N018.16.09.798 E097.30.07.388 N018.34.02.297 E097.20.44.312
           N018.34.02.297 E097.20.44.312 N018.29.30.200 E097.31.59.394
           N018.29.30.200 E097.31.59.394 N018.33.36.602 E097.37.00.804
           N018.33.36.602 E097.37.00.804 N018.34.45.198 E097.46.03.611
           N018.34.45.198 E097.46.03.611 N018.51.42.498 E097.44.41.598
           N018.51.42.498 E097.44.41.598 N018.56.43.599 E097.40.16.196
           N018.56.43.599 E097.40.16.196 N019.05.56.300 E097.49.55.313
           N019.05.56.300 E097.49.55.313 N019.12.41.401 E097.50.18.988
           N019.12.41.401 E097.50.18.988 N019.16.17.598 E097.47.09.803
           N019.16.17.598 E097.47.09.803 N019.17.44.101 E097.50.31.100
           N019.17.44.101 E097.50.31.100 N019.23.57.499 E097.47.07.002
           N019.23.57.499 E097.47.07.002 N019.29.56.100 E097.53.16.390
           N019.29.56.100 E097.53.16.390 N019.34.25.100 E097.51.48.801
           N019.34.25.100 E097.51.48.801 N019.39.25.899 E098.02.34.907
           N019.39.25.899 E098.02.34.907 N019.48.30.903 E098.02.42.598
           N019.48.30.903 E098.02.42.598 N019.46.12.503 E098.10.16.113
