VYYY_CTR   N022.08.59.999 E092.37.00.007 N021.58.33.098 E092.36.31.690
           N026.37.11.598 E098.46.51.813 N026.23.04.401 E098.44.13.912
           N026.23.04.401 E098.44.13.912 N026.18.56.700 E098.40.35.889
           N026.18.56.700 E098.40.35.889 N026.08.03.398 E098.43.04.506
           N026.08.03.398 E098.43.04.506 N026.05.28.203 E098.40.00.403
           N026.05.28.203 E098.40.00.403 N026.08.45.998 E098.38.56.792
           N026.08.45.998 E098.38.56.792 N026.07.08.700 E098.34.22.299
           N026.07.08.700 E098.34.22.299 N025.51.58.600 E098.42.28.801
           N025.51.58.600 E098.42.28.801 N025.48.15.200 E098.38.15.291
           N025.48.15.200 E098.38.15.291 N025.50.54.302 E098.33.07.399
           N025.50.54.302 E098.33.07.399 N025.48.29.901 E098.28.58.696
           N025.48.29.901 E098.28.58.696 N025.33.43.098 E098.21.38.611
           N025.33.43.098 E098.21.38.611 N025.37.23.999 E098.10.11.801
           N025.37.23.999 E098.10.11.801 N025.23.23.002 E098.08.20.098
           N025.23.23.002 E098.08.20.098 N025.13.25.401 E097.56.56.611
           N025.13.25.401 E097.56.56.611 N025.16.04.400 E097.50.42.087
           N025.16.04.400 E097.50.42.087 N024.58.50.999 E097.43.02.803
           N024.58.50.999 E097.43.02.803 N024.50.48.198 E097.47.16.588
           N024.50.48.198 E097.47.16.588 N024.44.28.600 E097.33.16.188
           N024.44.28.600 E097.33.16.188 N024.26.09.102 E097.32.11.699
           N024.26.09.102 E097.32.11.699 N024.26.43.702 E097.40.49.292
           N024.26.43.702 E097.40.49.292 N024.21.17.099 E097.43.02.611
           N024.21.17.099 E097.43.02.611 N024.18.25.801 E097.40.09.686
           N024.18.25.801 E097.40.09.686 N024.16.43.697 E097.45.41.309
           N024.16.43.697 E097.45.41.309 N024.10.11.801 E097.45.28.400
           N024.10.11.801 E097.45.28.400 N023.56.16.099 E097.32.06.096
           N023.56.16.099 E097.32.06.096 N023.50.40.199 E097.38.58.605
           N023.50.40.199 E097.38.58.605 N024.00.36.797 E097.53.06.887
           N024.00.36.797 E097.53.06.887 N024.06.06.600 E098.08.16.994
           N024.06.06.600 E098.08.16.994 N024.07.46.500 E098.32.09.309
           N024.07.46.500 E098.32.09.309 N024.05.41.098 E098.36.29.603
           N024.05.41.098 E098.36.29.603 N024.09.18.099 E098.52.51.396
           N024.09.18.099 E098.52.51.396 N024.03.02.002 E098.50.22.998
           N024.03.02.002 E098.50.22.998 N023.57.35.901 E098.40.42.700
           N023.57.35.901 E098.40.42.700 N023.48.44.403 E098.40.55.994
           N023.48.44.403 E098.40.55.994 N023.45.40.203 E098.49.28.314
           N023.45.40.203 E098.49.28.314 N023.37.04.903 E098.53.29.793
           N023.37.04.903 E098.53.29.793 N023.32.32.202 E098.48.27.587
           N023.32.32.202 E098.48.27.587 N023.25.23.199 E098.55.23.007
           N023.25.23.199 E098.55.23.007 N023.19.52.999 E098.53.06.392
           N023.19.52.999 E098.53.06.392 N023.17.38.601 E098.56.20.905
           N023.17.38.601 E098.56.20.905 N023.11.30.003 E098.53.04.991
           N023.11.30.003 E098.53.04.991 N023.10.21.297 E099.03.27.202
           N023.10.21.297 E099.03.27.202 N023.05.37.301 E099.06.35.288
           N023.05.37.301 E099.06.35.288 N023.08.07.601 E099.20.50.107
           N023.08.07.601 E099.20.50.107 N023.05.01.499 E099.30.40.594
